category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
audio,PolyAI_minds14,sample_0019,602bafed963e11ccd901ce4f.wav,59450,27980,38498,0.3007,6.0058,10.3674,0.882,0.819,"HF audio bytes, 59450 bytes"
audio,PolyAI_minds14,sample_0020,602ba3fe963e11ccd901cc7f.wav,66278,34917,49929,0.1895,7.0336,11.8692,1.054,0.928,"HF audio bytes, 66278 bytes"
audio,PolyAI_minds14,sample_0021,602bae1f963e11ccd901cdf2.wav,66278,35898,53316,0.1527,7.3429,12.4277,1.083,0.996,"HF audio bytes, 66278 bytes"
audio,PolyAI_minds14,sample_0022,602ba63d05f96973d679444d.wav,43898,16957,21172,0.4177,5.1545,8.3255,0.724,0.644,"HF audio bytes, 43898 bytes"
audio,PolyAI_minds14,sample_0023,602babccbb1e6d0fbce921b2.wav,41702,15077,19083,0.4653,4.6943,7.7225,0.633,0.622,"HF audio bytes, 41702 bytes"
audio,PolyAI_minds14,sample_0024,602bad57bb1e6d0fbce921f2.wav,30778,20909,27771,0.1307,7.4041,13.0104,1.274,1.039,"HF audio bytes, 30778 bytes"
audio,PolyAI_minds14,sample_0025,602ba5305f67b421554f6404.wav,32826,11591,13743,0.4986,4.4836,7.0778,0.618,0.569,"HF audio bytes, 32826 bytes"
audio,PolyAI_minds14,sample_0026,602ba3fa5f67b421554f63ec.wav,29414,13198,15571,0.3974,5.3298,8.6233,0.785,0.685,"HF audio bytes, 29414 bytes"
audio,PolyAI_minds14,sample_0027,602baafc5f67b421554f646d.wav,69008,29803,39908,0.3115,6.039,9.9545,0.81,0.78,"HF audio bytes, 69008 bytes"
audio,PolyAI_minds14,sample_0028,602ba857bb1e6d0fbce920ec.wav,127718,67733,109466,0.1278,7.4194,13.0728,1.127,1.004,"HF audio bytes, 127718 bytes"
audio,PolyAI_minds14,sample_0029,602b9d56bb1e6d0fbce91fa6.wav,54672,21834,29867,0.3598,5.6137,9.2584,0.749,0.747,"HF audio bytes, 54672 bytes"
