category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,text_repeat_frequency,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
text,wikitext,sample_0037,<memory>,857,495,494,0.4978,2.0,4.3523,7.3661,0.722,0.802,"HF text, 2 lines, 857 bytes"
text,wikitext,sample_0038,<memory>,500,325,329,0.5029,2.0,4.3741,7.1578,0.731,0.855,"HF text, 2 lines, 500 bytes"
text,wikitext,sample_0042,<memory>,374,248,250,0.5029,0.0,4.4302,7.0458,0.746,0.862,"HF text, 2 lines, 374 bytes"
text,wikitext,sample_0046,<memory>,1078,654,670,0.4507,2.0,4.8619,7.8549,0.758,0.848,"HF text, 2 lines, 1078 bytes"
text,wikitext,sample_0047,<memory>,1207,671,678,0.4785,2.0,4.5575,7.5729,0.695,0.808,"HF text, 2 lines, 1207 bytes"
text,wikitext,sample_0048,<memory>,732,474,440,0.4312,2.0,5.1882,7.8236,0.809,0.782,"HF text, 2 lines, 732 bytes"
text,wikitext,sample_0053,<memory>,549,339,306,0.4877,2.0,4.5881,7.2181,0.772,0.745,"HF text, 2 lines, 549 bytes"
text,wikitext,sample_0054,<memory>,503,308,316,0.5046,2.0,4.3849,7.0833,0.765,0.831,"HF text, 2 lines, 503 bytes"
text,wikitext,sample_0058,<memory>,1121,631,624,0.4839,2.0,4.4973,7.5197,0.704,0.798,"HF text, 2 lines, 1121 bytes"
text,wikitext,sample_0062,<memory>,1584,811,768,0.4945,2.0,4.3517,7.4717,0.64,0.743,"HF text, 2 lines, 1584 bytes"
text,wikitext,sample_0063,<memory>,494,296,285,0.5314,2.0,4.1024,6.7903,0.674,0.783,"HF text, 2 lines, 494 bytes"
text,wikitext,sample_0065,<memory>,981,542,514,0.5032,0.0,4.2986,7.301,0.691,0.759,"HF text, 2 lines, 981 bytes"
text,wikitext,sample_0066,<memory>,755,404,362,0.5297,2.1667,4.1109,6.8292,0.669,0.7,"HF text, 2 lines, 755 bytes"
text,wikitext,sample_0067,<memory>,265,192,215,0.528,0.0,4.1447,6.8156,0.815,0.988,"HF text, 2 lines, 265 bytes"
text,wikitext,sample_0071,<memory>,391,253,250,0.5261,0.0,4.167,6.8304,0.728,0.85,"HF text, 2 lines, 391 bytes"
text,wikitext,sample_0072,<memory>,479,299,302,0.5228,0.0,4.1592,6.9506,0.78,0.858,"HF text, 2 lines, 479 bytes"
text,wikitext,sample_0073,<memory>,303,219,227,0.499,0.0,4.515,7.0013,0.813,0.942,"HF text, 2 lines, 303 bytes"
text,wikitext,sample_0084,<memory>,944,535,501,0.48,2.0,4.6077,7.4258,0.708,0.744,"HF text, 2 lines, 944 bytes"
text,wikitext,sample_0085,<memory>,445,294,302,0.4987,0.0,4.4422,7.1559,0.826,0.876,"HF text, 2 lines, 445 bytes"
